Openissues: 298
Closedissues 1502
{comments=8, state=closed, durationTime=0 Days 15 Hours 35 Minutes 42 Seconds}
{comments=8, state=closed, durationTime=17 Days 16 Hours 0 Minutes 27 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=28 Days 17 Hours 24 Minutes 22 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=178 Days 13 Hours 56 Minutes 25 Seconds}
{comments=8, state=closed, durationTime=25 Days 16 Hours 23 Minutes 34 Seconds}
{comments=8, state=closed, durationTime=454 Days 22 Hours 45 Minutes 11 Seconds}
{comments=8, state=closed, durationTime=7 Days 23 Hours 18 Minutes 20 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=1 Days 23 Hours 5 Minutes 31 Seconds}
{comments=8, state=closed, durationTime=210 Days 22 Hours 15 Minutes 23 Seconds}
{comments=7, state=closed, durationTime=6 Days 22 Hours 12 Minutes 32 Seconds}
{comments=7, state=closed, durationTime=1 Days 20 Hours 43 Minutes 53 Seconds}
{comments=7, state=closed, durationTime=35 Days 3 Hours 46 Minutes 47 Seconds}
{comments=7, state=closed, durationTime=0 Days 1 Hours 32 Minutes 43 Seconds}
{comments=7, state=closed, durationTime=8 Days 8 Hours 12 Minutes 31 Seconds}
{comments=7, state=closed, durationTime=5 Days 17 Hours 0 Minutes 1 Seconds}
{comments=7, state=closed, durationTime=0 Days 21 Hours 59 Minutes 14 Seconds}
{comments=7, state=closed, durationTime=6 Days 15 Hours 40 Minutes 13 Seconds}
{comments=7, state=closed, durationTime=1 Days 10 Hours 38 Minutes 13 Seconds}
{comments=7, state=closed, durationTime=0 Days 4 Hours 20 Minutes 47 Seconds}
{comments=7, state=closed, durationTime=20 Days 5 Hours 42 Minutes 50 Seconds}
{comments=7, state=closed, durationTime=4 Days 7 Hours 38 Minutes 21 Seconds}
{comments=7, state=closed, durationTime=0 Days 0 Hours 40 Minutes 6 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=6 Days 17 Hours 11 Minutes 29 Seconds}
{comments=7, state=closed, durationTime=207 Days 23 Hours 53 Minutes 18 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=0 Days 4 Hours 41 Minutes 9 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=4 Days 22 Hours 34 Minutes 0 Seconds}
{comments=7, state=closed, durationTime=62 Days 1 Hours 42 Minutes 32 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=0 Days 4 Hours 6 Minutes 49 Seconds}
{comments=7, state=closed, durationTime=18 Days 0 Hours 11 Minutes 0 Seconds}
{comments=7, state=closed, durationTime=478 Days 2 Hours 54 Minutes 51 Seconds}
{comments=7, state=closed, durationTime=0 Days 17 Hours 48 Minutes 45 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=24 Days 19 Hours 25 Minutes 51 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=3 Days 3 Hours 42 Minutes 35 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=20 Days 17 Hours 20 Minutes 24 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=5 Days 19 Hours 57 Minutes 37 Seconds}
{comments=7, state=closed, durationTime=29 Days 13 Hours 6 Minutes 26 Seconds}
{comments=7, state=closed, durationTime=14 Days 6 Hours 40 Minutes 38 Seconds}
{comments=6, state=closed, durationTime=0 Days 1 Hours 19 Minutes 39 Seconds}
{comments=6, state=closed, durationTime=19 Days 18 Hours 27 Minutes 4 Seconds}
{comments=6, state=closed, durationTime=23 Days 12 Hours 37 Minutes 23 Seconds}
{comments=6, state=closed, durationTime=14 Days 20 Hours 18 Minutes 29 Seconds}
{comments=6, state=closed, durationTime=72 Days 3 Hours 54 Minutes 21 Seconds}
{comments=6, state=closed, durationTime=14 Days 2 Hours 39 Minutes 55 Seconds}
{comments=6, state=closed, durationTime=0 Days 18 Hours 8 Minutes 13 Seconds}
{comments=6, state=closed, durationTime=4 Days 0 Hours 38 Minutes 7 Seconds}
{comments=6, state=closed, durationTime=1 Days 18 Hours 5 Minutes 42 Seconds}
{comments=6, state=closed, durationTime=25 Days 22 Hours 34 Minutes 16 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 19 Hours 40 Minutes 27 Seconds}
{comments=6, state=closed, durationTime=236 Days 0 Hours 50 Minutes 15 Seconds}
{comments=6, state=closed, durationTime=2 Days 21 Hours 43 Minutes 53 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=6 Days 4 Hours 17 Minutes 46 Seconds}
{comments=6, state=closed, durationTime=90 Days 21 Hours 52 Minutes 5 Seconds}
{comments=6, state=closed, durationTime=135 Days 9 Hours 9 Minutes 2 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=9 Days 13 Hours 48 Minutes 2 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=156 Days 17 Hours 25 Minutes 4 Seconds}
{comments=6, state=closed, durationTime=0 Days 2 Hours 27 Minutes 41 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 19 Hours 0 Minutes 58 Seconds}
{comments=6, state=closed, durationTime=546 Days 4 Hours 44 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=3 Days 3 Hours 15 Minutes 8 Seconds}
{comments=6, state=closed, durationTime=54 Days 1 Hours 25 Minutes 16 Seconds}
{comments=6, state=closed, durationTime=3 Days 22 Hours 49 Minutes 47 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=5 Days 19 Hours 24 Minutes 16 Seconds}
{comments=6, state=closed, durationTime=0 Days 0 Hours 11 Minutes 42 Seconds}
{comments=5, state=closed, durationTime=0 Days 2 Hours 31 Minutes 20 Seconds}
{comments=5, state=closed, durationTime=2 Days 22 Hours 11 Minutes 17 Seconds}
{comments=5, state=closed, durationTime=1 Days 14 Hours 0 Minutes 58 Seconds}
{comments=5, state=closed, durationTime=1 Days 2 Hours 3 Minutes 43 Seconds}
{comments=5, state=closed, durationTime=117 Days 2 Hours 56 Minutes 50 Seconds}
{comments=5, state=closed, durationTime=72 Days 14 Hours 51 Minutes 55 Seconds}
{comments=5, state=closed, durationTime=27 Days 8 Hours 16 Minutes 22 Seconds}
{comments=5, state=closed, durationTime=162 Days 8 Hours 58 Minutes 49 Seconds}
{comments=5, state=closed, durationTime=26 Days 5 Hours 22 Minutes 25 Seconds}
